sequencing_technology,center,trio,sample_id,variant_caller,date,url,ref_genome
PACBIO,PacBio,AshkenazimTrio,HG003,pbsv,05052017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05052017/hg19.HG003.pbsv.vcf.gz,GRCh37
PACBIO,PacBio,AshkenazimTrio,HG004,pbsv,05052017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05052017/hg19.HG004.pbsv.vcf.gz,GRCh37
PACBIO,PacBio,AshkenazimTrio,HG002,pbsv,05052017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05052017/hg38.HG002.pbsv.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG003,pbsv,05052017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05052017/hg38.HG003.pbsv.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG004,pbsv,05052017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05052017/hg38.HG004.pbsv.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG002,pbsv,05212019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05212019/HG002_GRCh38.pbsv.vcf.gz,GRCh38
PACBIO,PacBio,AshkenazimTrio,HG002,pbsv,05212019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05212019/HG002_hs37d5.pbsv.vcf.gz,GRCh37
,RealTimeGenomics,AshkenazimTrio,,rtg,08122019,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/RTG_RTGJointTrio_08122019/GRCh38/family.merged.avr_0.1.vcf.gz,GRCh38
ILLUMINA,RealTimeGenomics,AshkenazimTrio,,rtg,11052015,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/Rutgers_IlluminaHiSeq300X_rtg_11052015/rtg_allCallsV2.vcf.gz,
ILLUMINA,RealTimeGenomics,AshkenazimTrio,,rtg,11052015,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/Rutgers_IlluminaHiSeq300X_rtg_11052015/rtg_denovo2.vcf.gz,
,Sentieon,AshkenazimTrio,HG002,tnscope,05052017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/Sentieon_tnscope_05052017/HG002_300x_tnscope_hq_altallele_head.vcf.gz,
,Sentieon,AshkenazimTrio,HG002,tnscope,05052017,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/Sentieon_tnscope_05052017/HG002_300x_tnscope_raw_altallele.vcf.gz,
,SevenBridges,AshkenazimTrio,HG002,GATK,170414,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/SevenBridges_GraphGATKRefine_05052017/HG002-NA24385-50x.union_170414.split.vcf.gz,
,SevenBridges,AshkenazimTrio,HG002,GATK,170414,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/SevenBridges_GraphGATKRefine_05052017/HG002-NA24385-50x.union_170414.vcf.gz,
,SevenBridges,AshkenazimTrio,HG003,GATK,170414,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/SevenBridges_GraphGATKRefine_05052017/HG003.hs37d5.60x.union_170414.split.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,,08142015,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_calls_08142015/NA24143_phased_variants.vcf.gz,
10XGenomics,10XGenomics,AshkenazimTrio,HG004,,08142015,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_calls_08142015/NA24149_phased_variants.vcf.gz,
10XGenomics,10XGenomics,AshkenazimTrio,HG002,,08142015,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_calls_08142015/NA24385_phased_variants.vcf.gz,
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,06202016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG002_NA24385_son/NA24385_GRCh37.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,06202016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG002_NA24385_son/NA24385_GRCh38.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,06202016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG003_NA24149_father/NA24149_GRCh37.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,06202016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG003_NA24149_father/NA24149_GRCh38.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,06202016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG004_NA24143_mother/NA24143_GRCh37.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,06202016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG004_NA24143_mother/NA24143_GRCh38.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24143_GRCh38/NA24143_GRCh38_deletions.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24143_GRCh38/NA24143_GRCh38_large_svs.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24143_GRCh38/NA24143_GRCh38_phased_variants.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24143_hg19/NA24143_hg19_deletions.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24143_hg19/NA24143_hg19_large_svs.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24143_hg19/NA24143_hg19_phased_variants.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24149_GRCh38/NA24149_GRCh38_deletions.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24149_GRCh38/NA24149_GRCh38_large_svs.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24149_GRCh38/NA24149_GRCh38_phased_variants.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24149_hg19/NA24149_hg19_deletions.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24149_hg19/NA24149_hg19_large_svs.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24149_hg19/NA24149_hg19_phased_variants.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24385_GRCh38/NA24385_GRCh38_deletions.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24385_GRCh38/NA24385_GRCh38_large_svs.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24385_GRCh38/NA24385_GRCh38_phased_variants.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24385_hg19/NA24385_hg19_deletions.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24385_hg19/NA24385_hg19_large_svs.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,09302016,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24385_hg19/NA24385_hg19_phased_variants.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24143.dels.reformatted.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24143_LongRanger_large_svs.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24143_LongRanger_snpindel.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24143_LongRanger_sv_deletions.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24143.phased_variants.reformatted.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24149.dels.reformatted.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24149_LongRanger_large_svs.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24149_LongRanger_snpindel.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24149_LongRanger_sv_deletions.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG004,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24149.phased_variants.reformatted.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385.dels.reformatted.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_LongRanger_large_svs.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_LongRanger_snpindel.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,LongRanger,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_LongRanger_sv_deletions.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385.phased_variants.reformatted.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_300G/NA24385.GRCh37.dels.reformatted.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_300G/NA24385.GRCh37.dels.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_300G/NA24385.GRCh37.large_svs.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_300G/NA24385.GRCh37.phased_variants.reformatted.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG002,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_300G/NA24385.GRCh37.phased_variants.vcf.gz,GRCh37
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24143.dels.reformatted.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24143.GRCh38.dels.reformatted.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24143.GRCh38.dels.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24143.GRCh38.large_svs.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24143.GRCh38.phased_variants.reformatted.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24143.GRCh38.phased_variants.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG003,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24143.phased_variants.reformatted.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24149.dels.reformatted.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24149.GRCh38.dels.reformatted.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24149.GRCh38.dels.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24149.GRCh38.large_svs.vcf.gz,GRCh38
10XGenomics,10XGenomics,AshkenazimTrio,HG004,Supernova,04122018,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24149.GRCh38.phased_variants.reformatted.vcf.gz,GRCh38
