giab_id_cdk,biosample,trio,dna_id,ref_genome,snps,indels,phased_genotypes,ftp_vcf_file
Not Available,Not Available,Not Available,Not Available,NA,0,2206,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/HG3_Dovetail_MHAP.l100c500.no_ns.vcf.gz
HG005,SAMN03283350,HAN_CHINESE,NA24631,NA,0,948,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/HG005_NA24631_son/HG005_NA24631_son_HiSeq_300x/basespace_45x_bams_vcfs_PerFlowCell/150506_HG005_Homogeneity_04_FCB-22365345/150506_HG005_Homogeneity_FCB_Combined-23216658/150506-HG005-Homogeneity-FCB-Combined_S1.SV.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,2664,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/HG3_Dovetail_Falcon.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,0,2.48 (5445/2200),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/BINA_Roche_MetaSV_10142016/HG004/variants.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,24548,1.95 (299609/153370),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/NA12878/analysis/GARVAN_snps_indels_12172013/project.NIST.hc.snps.indels.vcf
Not Available,Not Available,Not Available,Not Available,NA,3872076,20301,1.24 (2145693/1726383),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/analysis/PacBio_deepvariant_gatk_pbsv_08282020/HG006/HG006.hs37d5.deepvariant.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,0,- (20/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24695_LongRanger_large_svs.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,3943228,4677,1.45 (2720114/1877911),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/NA12878/10Xgenomics_ChromiumGenome_LongRanger2.0_06202016/NA12878_GRCh38.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,2338,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/hs37d5/HG2_10X_pseu2.1_0916.l100c500.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,8422,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/Preliminary_Integrations_v0.4.0/svviz2_genotyping/union_170509_refalt.2.2.2.clustered.simpleINFO.techcounts.2techor5caller.1to10k.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,1840,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/hs37d5/HG2_10X_PBhap1_1117.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,1145,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_05252018/hs37d5/HG2_Dove_DIS_0417.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,298,10517,1.54 (510150/331499),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24149.GRCh38.phased_variants.reformatted.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,439,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/GIAB_Evaluations/SpiralBGA_v0.6_TruvariBench/loose_comparison/fp.vcf
Not Available,Not Available,Not Available,Not Available,NA,20338,103,1.26 (11355/8983),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/inputvcfs_preformatted/HG004_pass/HG004.hs37d5.60x.union_170414.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,847,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/inputvcfs_preformatted/HG002_pass/HG2_PB_Bionano.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/header.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,0,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG003_pass/NA24149_hg19_10x_allSV_pass.corrchrom_refalt_head.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass/mother_hap_refsplit20160129_1kb_bionano_withID_gt19bp.sort.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,179898,80220,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/NA12878/analysis/Illumina_PlatinumGenomes_NA12877_NA12878_09162015/hg19/older_releases/IlluminaPlatinumGenomes_v7.0/individual_callsets/bwa_platypus.vcf.gz
Not Available,Not Available,Not Available,Not Available,hs37d5,0,0,1.67 (31631/18993),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/NA12878/analysis/PacBio_CCS_15kb_20kb_chemistry2_042021/HG001.hs37d5.pbsv.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,223,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/GIAB_Evaluations/SpiralBGA_v0.6_TruvariBench/sequence_comparison/fp_del_TR.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,202,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/BU_HiSeq300x_scalpel_v0.4.1_04202017/hg004.scalpel.vcf
Not Available,Not Available,Not Available,Not Available,NA,3807174,3936,1.39 (2584221/1861950),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG003_NA24149_father/NA24149_GRCh37.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,3871,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/DNAnexus_AndrewC_Illumina_Callers_Sep2016/HG004/HG004.140818_D00360_0046_AHA5R5ADXX.realigned.recalibrated.cnvnator.vcf
Not Available,Not Available,Not Available,Not Available,NA,NA,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass/HG004_AJ_tardis.filtered.noINV_refalt_head.vcf.gz
HG005,SAMN03283350,HAN_CHINESE,NA24631,NA,0,0,14.20 (71/5),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/HG005_NA24631_son/HG005_NA24631_son_HiSeq_300x/basespace_45x_bams_vcfs_PerFlowCell/150424_HG005_Homogeneity_02_FCB-22108088/150424_HG005_Homogeneity_FCB_Combined-23168147/150424-HG005-Homogeneity-FCB-Combined_S1.CNV.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,7221,2.14 (65523/30608),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/NA12878/analysis/Leicester_HipSTR_GangSTR_05182022/GangSTR/NA12878_30x.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,1840,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_05252018/hs37d5/HG2_10X_PBhap1_1117.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,3773345,10560,1.61 (2821591/1756604),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_v4.2_SmallVariantDraftBenchmark_07092020/supplementaryFiles/inputvcfsandbeds/HG004_GRCh38_CHROM1-22_10xGenomics.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,46,311,- (46/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass/HG004_NIST_150bp_50x_fermikit.raw_min20bp_refalt_head.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass/HG004.pindel_pass_decomposed_norm.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,479,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/HG4_megahit.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,3289,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/Spiral_AJTrio_v1.1_01312017/HG002_SpiralVariants_refine_v1.1_norm.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,853,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/inputvcfs_preformatted/HG003_pass/HG003.commonlaw.deletions.bilkentuniv.082815.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,0,1.59 (2350/1480),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_300G/NA24385.GRCh37.dels.reformatted.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,748,21.1% (2419/11462),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG002_pass/vcfBeta-GS000037263-ASM_filtered_pass_refalt_head.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,88,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/hs37d5/HG2_ORod_chr20_0318.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,117293,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/DNAnexus_AndrewC_Illumina_Callers_Sep2016/HG004/HG004.140818_D00360_0046_AHA5R5ADXX.realigned.recalibrated.manta.candidateSV.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,0,5.79 (1802/311),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG003_pass/HG003.140701_D00360_0032_AHA0KGADXX.realigned.recalibrated.breakseq_pass_withID_gt19bp.sort.vcf.gz
HG003,SAMN03283345,ASHKENAZI_JEWISH,NA24149,NA,3640742,23584,2874,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/HG003_NA24149_father/NIST_Illumina_2x250bps/HG003_250bp_All_good-29988042/HG003-250bp-All-good_S1.genome.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,4090711,22032,1.56 (2493628/1597083),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_v4.2_SmallVariantDraftBenchmark_07092020/supplementaryFiles/inputvcfsandbeds/HG004_GRCh38_CHROM1-22_PacBio_HiFi_DeepVariant.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,2364,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/HG2_p_and_a_ctg_Sep2016.l100c500.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,47,0,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/NA12878/analysis/CLCBIO_Illumina300X_callsets_10012015/U5c_CCGTCC_L001_R1_001_paired_Reads_locally_realigned_Variants.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,0,7.43 (609/82),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/GIAB_Evaluations/awenger-pbsv-9239a5c-vs-GIABv0.6/fp.vcf
HG007,SAMN03283349,HAN_CHINESE,NA24695,NA,3683323,28877,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/NA24695_Justin-18377364/NA24695_combined-19072106/NA24695-combined_S1.vcf
Not Available,Not Available,Not Available,Not Available,NA,30884,105,1.01 (15532/15352),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/SevenBridges_GraphGATKRefine_05052017/HG002-NA24385-50x.union_170414.split.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,2868,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/HG3_p_and_a_ctg.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,0,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass/NA24143_hg19_10x_allSV_pass.corrchrom_refalt_head.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,2295,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_05252018/hs37d5/HG2_10X_pseu2.2_0916.l100c500.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/inputvcfswithIDs_170509/father_hap_refsplit20160129_1kb_bionano_withID_gt19bp.sort.vcf.gz
HG005,SAMN03283350,HAN_CHINESE,NA24631,NA,156,24793,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamplessubmissions/ADF1EDBC-1463-482D-808E-C7EBED5C1161--WUSTL_Variant_Calls/HG005/calls//HG005.GRCh38_no_alt.pbsv.vcf
HG005,SAMN03283350,HAN_CHINESE,NA24631,NA,0,8,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamplessubmissions/B581EBA7-8BDE-4C7C-9DEA-78B99A051155--Yale_HPP_Year1_Variant_Calls/HG005//HG005.GRCh38_no_alt.sniffles.vcf.gz
HG005,SAMN03283350,HAN_CHINESE,NA24631,NA,3816058,15,2.00 (3629401/1818894),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamplessubmissions/B581EBA7-8BDE-4C7C-9DEA-78B99A051155--Yale_HPP_Year1_Variant_Calls/HG005//HG005.GRCh38_no_alt.pav.vcf.gz
Not Available,Not Available,Not Available,Not Available,hs37d5,127,22831,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/analysis/PacBio_CCS_15kb_20kb_chemistry2_12072020/HG005/HG005.hs37d5.pbsv.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,251163,229990,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/CompleteGenomics_RefMaterial_SmallVariants_CGAtools_08082014/AshkenaziTrio_RefMaterial_SmallVariants.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,79,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/GIAB_Evaluations/SVRefine_v0.6_TruvariReports_NFH/HG2_ORod_raw_0518.merged.clustered.0.2.0.2.0.2_vs_GIABv0.6/fn.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,1982,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/hs37d5/HG2_Dove_MHAP_0417.l100c500.no_ns.vcf.gz
HG004,SAMN03283346,ASHKENAZI_JEWISH,NA24143,NA,3384391,19610,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004Run01-15133132/HG004Run01_S1.genome.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,0,- (18/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24143_hg19/NA24143_hg19_large_svs.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,3859510,3588,1.23 (2522955/2047591),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_06202017/GM24694_ChineseTrioFather_hg19/GM24694_ChineseTrioFather_hg19_phased_variants.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,1564,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/BU_GRCh38_SVs_06252018/manta.HG003.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,186755,100.0% (1508132/1508132),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/Leicester_HipSTR_GangSTR_05182022/HipSTR/Ashkenazi_trio_100x.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,261,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/HG4_sga.l100c500.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,4009570,19231,1.72 (2533929/1475641),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/BU_GRCh38_SVs_06252018/HG004.gatk.raw.snps.indels.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,117,21278,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/analysis/PacBio_deepvariant_gatk_pbsv_08282020/HG006/HG006.GRCh38.pbsv.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,10,3459,2.33 (7/3),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/inputvcfs_preformatted/HG004_pass/HG004_GRCh37_CHROM1-MT_novoalign_Ilmn150bp300X_FB_min20bp.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,1619,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/BU_GRCh38_SVs_06252018/manta.HG002.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,7129,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/GRCh38/HG2_IFid_mega_0318.l100c500.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,0,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/Broad_svaba_05052017/full.svaba.unfiltered.germline.sv.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,0,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/PacBio_pbsv_05052017/hg38.HG003.pbsv.vcf.gz
HG005,SAMN03283350,HAN_CHINESE,NA24631,NA,3603263,21309,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/HG005_NA24631_son/HG005_NA24631_son_HiSeq_300x/basespace_45x_bams_vcfs_PerFlowCell/150420_HG005_Homogeneity_01_Combined-23772816/150420-HG005-Homogeneity-01-Combined_S1.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,1108,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG002_pass/HG2_Dovetail_MHAP.l100c500.no_ns_refalt_head.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,1277,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_05252018/GRCh38/HG2_ORod_PBBio_0417.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,NA,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG002_pass/HG002.140528_D00360_0018_AH8VC6ADXX.realigned.recalibrated.cnvnator_decomposed_norm.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,72,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/GRCh38_vs_GRCh37.l100c500.no_ns.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,3459843,14439,2.09 (3247386/1554775),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NIST_v4.2_SmallVariantDraftBenchmark_07092020/HG002_GRCh38_1_22_v4.2_benchmark.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,2622,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_05252018/hs37d5/HG2_ABas_Falc_0316.l100c500.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,1479,0,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/NHGRI_SVrefine_05252018/GRCh38/HG2_ORod_raw.01_0518.l100c500.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,4331,NA,NA,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/DNAnexus_AndrewC_Illumina_Callers_Sep2016/HG002/HG002.140528_D00360_0018_AH8VC6ADXX.realigned.recalibrated.cnvnator.vcf
Not Available,Not Available,Not Available,Not Available,NA,0,0,- (0/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/ChineseTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38/NA24631.GRCh38.dels.vcf.gz
Not Available,Not Available,Not Available,Not Available,NA,0,0,- (2780/0),https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.1_09302016/NA24143_GRCh38/NA24143_GRCh38_deletions.vcf.gz
